show_id,release_year,date_added
"s625","2021","June 30, 2021"
"s626","2021","June 30, 2021"
"s627","2021","June 30, 2021"
"s628","2020","June 30, 2021"
"s629","2021","June 29, 2021"
"s630","2020","June 28, 2021"
"s631","2012","June 28, 2021"
"s632","2021","June 28, 2021"
"s633","2019","June 28, 2021"
"s634","2018","June 26, 2021"
"s635","2019","June 26, 2021"
"s636","2010","June 25, 2021"
"s637","2021","June 25, 2021"
"s638","2021","June 25, 2021"
"s639","2021","June 25, 2021"
"s640","2021","June 24, 2021"
"s641","2021","June 24, 2021"
"s642","2021","June 24, 2021"
"s643","2021","June 24, 2021"
"s644","2021","June 24, 2021"
"s645","2021","June 23, 2021"
"s646","2021","June 23, 2021"
"s647","2021","June 23, 2021"
"s648","2021","June 23, 2021"
"s649","2021","June 23, 2021"
"s650","2019","June 22, 2021"
"s651","2016","June 22, 2021"
"s652","2003","June 22, 2021"
"s653","2004","June 22, 2021"
"s654","2021","June 22, 2021"
"s655","2014","June 21, 2021"
"s656","2016","June 21, 2021"
"s657","2015","June 21, 2021"
"s658","2001","June 21, 2021"
"s659","2021","June 20, 2021"
"s660","2018","June 19, 2021"
"s661","2021","June 19, 2021"
"s662","2018","June 19, 2021"
"s663","2018","June 19, 2021"
"s664","2019","June 19, 2021"
"s665","2020","June 19, 2021"
"s666","2020","June 19, 2021"
"s667","2020","June 19, 2021"
"s668","2015","June 19, 2021"
"s669","2018","June 19, 2021"
"s670","2020","June 19, 2021"
"s671","1981","June 19, 2021"
"s672","1982","June 19, 2021"
"s673","1988","June 19, 2021"
"s674","2019","June 19, 2021"
"s675","2019","June 19, 2021"
"s676","2018","June 19, 2021"
"s677","2019","June 19, 2021"
"s678","2020","June 19, 2021"
"s679","2018","June 19, 2021"
"s680","2018","June 19, 2021"
"s681","2020","June 19, 2021"
"s682","2018","June 19, 2021"
"s683","2021","June 19, 2021"
"s684","2021","June 18, 2021"
"s685","2021","June 18, 2021"
"s686","2021","June 18, 2021"
"s687","2021","June 18, 2021"
"s688","2021","June 18, 2021"
"s689","2020","June 18, 2021"
"s690","1981","June 18, 2021"
"s691","2021","June 18, 2021"
"s692","2021","June 18, 2021"
"s693","2021","June 18, 2021"
"s694","2021","June 17, 2021"
"s695","2019","June 17, 2021"
"s696","2015","June 17, 2021"
"s697","2021","June 17, 2021"
"s698","2021","June 17, 2021"
"s699","2020","June 17, 2021"
"s700","2021","June 17, 2021"
"s701","2021","June 17, 2021"
"s702","2019","June 17, 2021"
"s703","2012","June 17, 2021"
"s704","2021","June 17, 2021"
"s705","2018","June 16, 2021"
"s706","2019","June 16, 2021"
"s707","2021","June 16, 2021"
"s708","2021","June 16, 2021"
"s709","2016","June 16, 2021"
"s710","2020","June 16, 2021"
"s711","2021","June 16, 2021"
"s712","2021","June 16, 2021"
"s713","2020","June 16, 2021"
"s714","2020","June 15, 2021"
"s715","2021","June 15, 2021"
"s716","2021","June 15, 2021"
"s717","1972","June 15, 2021"
"s718","2021","June 15, 2021"
"s719","2013","June 15, 2021"
"s720","2021","June 15, 2021"
"s721","2021","June 15, 2021"
"s722","2020","June 15, 2021"
"s723","2005","June 15, 2021"
"s724","2014","June 15, 2021"
"s725","2021","June 15, 2021"
"s726","2021","June 14, 2021"
"s727","2014","June 13, 2021"
"s728","2020","June 13, 2021"
"s729","2021","June 13, 2021"
"s730","2021","June 12, 2021"
"s731","2021","June 12, 2021"
"s732","2021","June 12, 2021"
"s733","2021","June 12, 2021"
"s734","2016","June 11, 2021"
"s735","2021","June 11, 2021"
"s736","2021","June 11, 2021"
"s737","2021","June 11, 2021"
"s738","2021","June 11, 2021"
"s739","2021","June 11, 2021"
"s740","2021","June 11, 2021"
"s741","2014","June 10, 2021"
"s742","2012","June 10, 2021"
"s743","2021","June 10, 2021"
"s744","2014","June 10, 2021"
"s745","2021","June 10, 2021"
"s746","2019","June 10, 2021"
"s747","2021","June 9, 2021"
"s748","2013","June 9, 2021"
"s749","2021","June 9, 2021"
"s750","2021","June 9, 2021"
"s751","2021","June 9, 2021"
"s752","2018","June 8, 2021"
"s753","2014","June 7, 2021"
"s754","2007","June 6, 2021"
"s755","2018","June 5, 2021"
"s756","2021","June 5, 2021"
"s757","2020","June 5, 2021"
"s758","2021","June 4, 2021"
"s759","2021","June 4, 2021"
"s760","2015","June 4, 2021"
"s761","2015","June 4, 2021"
"s762","2021","June 4, 2021"
"s763","2021","June 4, 2021"
"s764","2021","June 4, 2021"
"s765","2021","June 4, 2021"
"s766","2021","June 4, 2021"
"s767","2021","June 3, 2021"
"s768","2021","June 3, 2021"
"s769","2021","June 3, 2021"
"s770","2020","June 3, 2021"
"s771","2021","June 3, 2021"
"s772","2021","June 3, 2021"
"s773","2021","June 3, 2021"
"s774","2019","June 3, 2021"
"s775","2020","June 2, 2021"
"s776","2012","June 2, 2021"
"s777","2001","June 2, 2021"
"s778","2009","June 2, 2021"
"s779","2013","June 2, 2021"
"s780","2000","June 2, 2021"
"s781","2019","June 2, 2021"
"s782","2021","June 2, 2021"
"s783","1997","June 2, 2021"
"s784","2021","June 2, 2021"
"s785","2011","June 2, 2021"
"s786","2021","June 2, 2021"
"s787","2013","June 2, 2021"
"s788","2003","June 2, 2021"
"s789","2001","June 2, 2021"
"s790","2015","June 2, 2021"
"s791","2015","June 2, 2021"
"s792","2008","June 2, 2021"
"s793","2010","June 2, 2021"
"s794","1997","June 2, 2021"
"s795","2019","June 2, 2021"
"s796","2012","June 2, 2021"
"s797","2011","June 2, 2021"
"s798","2001","June 2, 2021"
"s799","1997","June 2, 2021"
"s800","2004","June 2, 2021"
"s801","2012","June 2, 2021"
"s802","2011","June 2, 2021"
"s803","2009","June 2, 2021"
"s804","2006","June 2, 2021"
"s805","2006","June 2, 2021"
"s806","2021","June 2, 2021"
"s807","2017","June 2, 2021"
"s808","2017","June 2, 2021"
"s809","2014","June 2, 2021"
"s810","2004","June 2, 2021"
"s811","1984","June 2, 2021"
"s812","2021","June 2, 2021"
"s813","2001","June 2, 2021"
"s814","1993","June 2, 2021"
"s815","1981","June 2, 2021"
"s816","2015","June 2, 2021"
"s817","2005","June 2, 2021"
"s818","2015","June 2, 2021"
"s819","1996","June 2, 2021"
"s820","1976","June 2, 2021"
"s821","2021","June 2, 2021"
"s822","2018","June 2, 2021"
"s823","2019","June 2, 2021"
"s824","2019","June 2, 2021"
"s825","2018","June 2, 2021"
"s826","2020","May 31, 2021"
"s827","2021","May 30, 2021"
"s828","2021","May 29, 2021"
"s829","2016","May 28, 2021"
"s830","2021","May 28, 2021"
"s831","2021","May 28, 2021"
"s832","2021","May 28, 2021"
"s833","2021","May 28, 2021"
"s834","2021","May 27, 2021"
"s835","2021","May 27, 2021"
"s836","2021","May 27, 2021"
"s837","2021","May 27, 2021"
"s838","2021","May 27, 2021"
"s839","2021","May 27, 2021"
"s840","2018","May 27, 2021"
"s841","2021","May 26, 2021"
"s842","2021","May 26, 2021"
"s843","2021","May 26, 2021"
"s844","2016","May 26, 2021"
"s845","2021","May 26, 2021"
"s846","2014","May 25, 2021"
"s847","2015","May 25, 2021"
"s848","2021","May 24, 2021"
"s849","2021","May 23, 2021"
"s850","2020","May 22, 2021"
"s851","2021","May 21, 2021"
"s852","2021","May 21, 2021"
"s853","2021","May 21, 2021"
"s854","2021","May 21, 2021"
"s855","2021","May 21, 2021"
"s856","2021","May 21, 2021"
"s857","2020","May 21, 2021"
"s858","2021","May 21, 2021"
"s859","2009","May 20, 2021"
"s860","2011","May 20, 2021"
"s861","2020","May 20, 2021"
"s862","2021","May 20, 2021"
"s863","2021","May 20, 2021"
"s864","2011","May 20, 2021"
"s865","2006","May 20, 2021"
"s866","2014","May 19, 2021"
"s867","2017","May 19, 2021"
"s868","1998","May 19, 2021"
"s869","1997","May 19, 2021"
"s870","2021","May 19, 2021"
"s871","2021","May 18, 2021"
"s872","2021","May 18, 2021"
"s873","2016","May 16, 2021"
